Year,CPI,Percent
1985,109.3,3.6
1986,110.5,1.9
1987,115.4,3.6
1988,120.5,4.1
1989,126.1,4.8
1990,133.8,5.4
1991,137.9,4.2
1992,141.9,3
1993,145.8,3
1994,149.7,2.6
1995,153.5,2.8
1996,158.6,3
1997,161.3,2.3
1998,163.9,1.6
1999,168.3,2.2
2000,174,3.4
2001,176.7,2.8
2002,180.9,1.6
2003,184.3,2.3
2004,190.3,2.7
2005,196.8,3.4
2006,201.8,3.2
2007,210,2.8
2008,210.228,3.8
2009,215.949,-0.4
2010,219.179,1.6
2011,225.672,3.2
2012,229.601,2.1
2013,233.049,1.5
2014,234.812,1.6
2015,236.525,0.1
2016,241.432,1.3
2017,246.524,2.1
2018,251.233,2.4
2019,257.208,1.7